openingDate;postalCode;address;managers;name;phone;mail;status;code;reference;contract
;85190;AIZENAY;Lionel LAVOGEZ;AGENCE IMMOBILIERE D'AIZENAY;02 51 42 13 50;aizenay@guyhoquet.com;P;HOQUET499;Siège;1743
;73200;ALBERTVILLE;Stéphane BRETON;SB IMMOBILIER;04 79 39 06 60;albertville@guyhoquet.com;P;HOQUET718;Siège;1692
;94140;ALFORTVILLE;Laurent GOLDENBERG;DELPHIMMO;01 49 77 75 00;maisonsalfort@guyhoquet.com;Succ.;HOQUET62 S;Pas de code unique;2033
;37400;AMBOISE;Ambroise De NORAY;AMBROISE IMMO;02 47 230 240;amboise@guyhoquet.com;P;HOQUET546;Siège;1727
29/01/2016;;ANGLET;Laurent OTERO;;;;P;HOQUET1240;Siège;
;74000;ANNECY;Philippe GICQUEL;PRESTIGE IMMO SAVOIES;04 50 10 67 19;annecylevieux@guyhoquet.com;P;HOQUET849;Siège;1872
;74100;ANNEMASSE;Amar ZEGRIR;L'IMMOBILER DE A.Z;04.50.79.50.02;annemasse@guyhoquet.com;P;HOQUET1009;Siège;2062
;92160;ANTONY;Gilles BOBIN;AERISSIMO;01 56 45 16 16;antony@guyhoquet.com;P;HOQUET136;Siège;1912
;66700;ARGELES SUR MER;Daniel FOHANNO;IMMO FOLY;04 68 81 83 84;argeles@guyhoquet.com;P;HOQUET310;Siège;2139
;95100;ARGENTEUIL;Marc COLATOSTI ;MCJT;01 30 76 15 14;argenteuil@guyhoquet.com;P;HOQUET447;Siège;2056
;59280;ARMENTIERES;Abdon LAGUYER;ALM IMMO 14;03 20 07 10 10;armentieres@guyhoquet.com;P;HOQUET1169;Siège;1949
;62000;ARRAS;Roland DAMNON;SARL BIENS EN ARTOIS;06 38 86 84 72;arras@guyhoquet.com;P;HOQUET1146;Siège;1907
;64170;ARTIX;Laurent OTERO;IMMOPLUS;05 59 83 39 00;artix@guyhoquet.com;Succ.;HOQUET461 S;Pas de code unique;1993
;92600;ASNIERES;Thierry GONDOUIN;IMMOT'AIME ;01 47 90 75 75;asnieres@guyhoquet.com;P;HOQUET58;Siège;1762
18/10/2016;92600;ASNIERES SUR SEINE;Pascal JULIA ;ISILOC;01 47 90 31 69;contact@guyhoquetgestion.com;Succ.;HOQUET1269;Siège;
;91200;ATHIS MONS;Aurélie OUTHIER;AURIMMO 91;01 69 38 31 31;athismons@guyhoquet.com;P;HOQUET757;Siège;1746
;7200;AUBENAS;Didier LENEVELER;COULEURS SUD IMMOBILIER;04 75 89 07 07;aubenas@guyhoquet.com;P;HOQUET285;Siège;1998
;78410;AUBERGENVILLE;Jean-Baptiste HEBERT ;HAPPIMMO 78;01 30 91 19 27;aubergenville@guyhoquet.com;Succ.;HOQUET1118;Siège;1831
;93400;AUBERVILLIERS;Pierre Michel;ACTIF IMMOBILIER;06 95 93 96 71;aubervilliers@guyhoquet.com ;P;HOQUET1147;Siège;1922
;31190;AUTERIVE;Sébastien POSTIC;POST'IMMO;05 61 61 90 30;auterive@guyhoquet.com;P;HOQUET721;Siège;1839
08/08/2014;89000;AUXERRE;Lucien VERNAGALLO;ETI IMMOBILIER;03 86 52 77 56;auxerre@guyhoquet.com;Succ.;HOQUET1181;Siège;1987
;84000;AVIGNON;Etienne BEAUCOURT;PROVENCALE DE GESTION ET DE TRANSACTION;04.32.74.00.10;avignon@guyhoquet.com;P;HOQUET1032;Siège;2009
;77210;AVON;Jean-Pierre COUDERC;IMMOPAC.TEM;01 64 69 54 90;avon@guyhoquet.com;P;HOQUET1114;Siège;1664
;92220;BAGNEUX;Gilles PAPON et Michel MENDES;IMMOBILIERE DU VIEUX BOURG;01 49 65 63 30;bagneux@guyhoquet.com;P;HOQUET378;Siège;1963
;30200;BAGNOLS SUR CEZE;Jean-Luc et Véronique VEXLARD;ABB IMMO;04 66 90 50 50;bagnols@guyhoquet.com;P;HOQUET284;Siège;1792
;59270;BAILLEUL;Marie-Paule et Stéphane BEHAEGEL;BAILLEULIMMO;03 28 44 00 40;bailleul@guyhoquet.com;P;HOQUET852;Siège;1860
;14400;BAYEUX;Laurence RABIER;ESPACE CONSEIL;02 31 10 13 10;bayeux@guyhoquet.com;P;HOQUET622;Siège;2103
;95250;BEAUCHAMP;Nicolas DREO;CSN IMMOBILIER;01 34 18 41 51;beauchamp@guyhoquet.com;P;HOQUET453;Siège;2065
;33130;BEGLES;Yves POUGET;AMI;05 57 35 95 36;y.pouget@guyhoquet.com;Succ.;HOQUET209;Pas de code unique;1805
;33130;BEGLES;Yves POUGET;AMI;05 57 35 95 36;y.pouget@guyhoquet.com;Succ.;HOQUET209 S;Pas de code unique;1805
;27300;BERNAY;Laurent VOLARD-MONTHULE ;AGENCE SAINTE CROIX;02 32 46 05 06;bernay@guyhoquet.com;P;HOQUET43;Siège;2089
;25000;BESANCON;David Blond et Emma ROTA GRAZIOSI;BLOND & ROTA GRAZIOSI IMMOBILIER;03 81 48 40 07;besancon@guyhoquet.com;P;HOQUET200;Siège;1917
;62400;BETHUNE;Ingrid DEROZIER;ACV IMMOBILIERS;03 91 82 64 64;bethune@guyhoquet.com;P;HOQUET455;Siège;1920
;64140;BILLERE;Laurent OTERO;IMMOPLUS;05.59.40.30.31;billere@guyhoquet.com;P;HOQUET80;Siège;2086
;40600;BISCARROSSE;Dominique DEZELLUS;GRANDE LANDE;05 58 83 99 85;biscarrosse@guyhoquet.com;Succ.;HOQUET295 S;Pas de code unique;1706
;76340;BLANGY SUR BRELSE;Dominique LOISEAU;CDLI;02 35 94 79 62;neufchatel@guyhoquet.com;Succ.;HOQUET999 S;Pas de code unique;1787
;45760;BOIGNY SUR BIONNE;Ludovic JAVOY;FLAV'IMMO;02 38 75 00 00;boigny@guyhoquet.com;P;HOQUET833;Siège;1888
;92270;BOIS COLOMBES;Pascal  JULIA;AGENCE DU MARCHE;01 47 84 04 04;boiscolombes@guyhoquet.com;P;HOQUET750;Siège;1469
;33000;BORDEAUX ALBRET;Jean François HIRIGOYEN;HT IMMOBILIER;05.56.33.09.09;bordeauxalbret@guyhoquet.com;P;HOQUET122;Siège;2126
;33000;BORDEAUX CHARTRONS;Olivier LACHAMBRE;O2L IMMO;05 57 29 57 61 ;bordeauxchartrons@guyhoquet.com;P;HOQUET1139;Siège;1850
;33800;BORDEAUX NANSOUTY;Sabine BOYER;AINB;05.56.33.23.23;bordeauxnansouty@guyhoquet.com;P;HOQUET385;Siège;2020
12/05/2015;33000;BORDEAUX SAINT-SEURIN;Georges METAIRIE;B2DIMMO;05 56 23 78 02;f.metairie@guyhoquet.com  ;P;HOQUET1214;Siège;1999
13/10/2015;92100;BOULOGNE BILLANCOURT;Serge BRIARD ;AGENCE DE LA REINE;01 46 99 60 60;boulogne@guyhoquet.com;P;HOQUET1224;Siège;2080
;92100;BOULOGNE SUD ;Michel MENDES ;M.P.B;01 46 21 56 71 ;boulognesud@guyhoquet.com;P;HOQUET1166;Siège;1958
08/09/2015;1000;BOURG EN BRESSE;Béatrice BERGERY;AVENIR IMMOBILIER;04 74 21 13 43;bourgenbresse@guyhoquet.com ;P;HOQUET1219;Siège;2098
;18000;BOURGES;Hugues METEIGNIER;IMMO DIFFERENCE;02.48.48.00.80;bourges@guyhoquet.com;P;HOQUET55;Siège;x2101
;38300;BOURGOIN JALLIEU;Virginie GUEDJ;B2V IMMO;04 74 43 32 06;bourgoinjallieu@guyhoquet.com;P;HOQUET1143;Siège;1863
31/03/2016;29200;BREST CENTRE;Malik CIDERE;LES CONSEILS IMMOBILIERS;02 98 80 42 35;brestcentre@guyhoquet.com;P;HOQUET1249;Siège;2127
;27160;BRETEUIL SUR ITON;Philippe GUITTON;L'EURE DE L'IMMOBILIER;02 32 34 14 14;breteuilsuriton@guyhoquet.com;Succ.;HOQUET1069;Siège;2041
;91220;BRETIGNY SUR ORGE;Myriam MARQUANT;MARQ'IMMO;01 60 84 00 00;bretignysurorge@guyhoquet.com;P;HOQUET728;Siège;1756
;91650;BREUILLET;Jeanique BLAISE;BLAISE BREUILLET IMMOBILIER;01 60 83 80 80 ;breuillet@guyhoquet.com;P;HOQUET1058;Siège;2091
;77170;BRIE COMTE ROBERT;Olivier MARCHAL;BRIE IMMO CONSEILS;01 60 62 73 13;brie@guyhoquet.com;P;HOQUET552;Siège;2129
28/10/2015;69126;BRINDAS;Christophe ROSTAING               ;AMCR; 09 83 91 70 20;brindas@guyhoquet.com;P;HOQUET1226;Siège;2095
14/12/2015;94230;CACHAN;Guillaume GUICHAOUA et Etienne DESESQUELLES;GUIDES IMMOBILIER;01 41 24 20 20;cachan@guyhoquet.com;P;HOQUET1232;Siège;2072
;14000;CAEN ;Lionel CHARLES et Christiane ESSOME ;COTE OUEST IMMOBILIER;02.31.34.50.00;caenest@guyhoquet.com;P;HOQUET359;Siège;1980
10/03/2016;14000;CAEN BEAULIEU;Jean-Yves et Valérie RENAULT ;IMMOBILIER DE l’ODON;02 31 71 25 50;caenbeaulieu@guyhoquet.com;P;HOQUET1246;Siège;2058
;14000;CAEN CHÂTEAU;Lionel CHARLES et Christiane ESSOME ;COTE OUEST IMMOBILIER;02.31.83.20.20;caenchateau@guyhoquet.com  ;P;HOQUET1072;Siège;1981
13/04/2016;14920;CAEN MATHIEU;Jacques PROCH ;CAEN LA MER IMMOBILIER;02 31 06 15 06; caen-mathieu@guyhoquet.com ;P;HOQUET1251?;Siège;2083
;6800;CAGNES SUR MER;Vanessa CHOPLET;IMMO S.T.I.L;04 93 22 00 00;cagnes@guyhoquet.com;P;HOQUET779;Siège;1815
;66140;CANET EN ROUSSILLON;Frédéric HALIMI;HRM;04.68.80.11.84;canet@guyhoquet.com;P;HOQUET1144;Siège;1896
;40130;CAPBRETON;Jean-François BISCAYART;SUD OCEAN IMMOBILIER;05 58 70 00 00;capbreton@guyhoquet.com;P;HOQUET1121;Siège;1718
;11000;CARCASSONNE;Jean-François ALIAS;A2 IMMOBILIER;04.68.10.39.40;carcassonne@guyhoquet.com;P;HOQUET279;Siège;1793
;50500;CARENTAN;Stéphanie LEMOIGNE;JISIMO;02 33 71 16 17;carentan@guyhoquet.com;P;HOQUET727;Siège;1752
18/02/2016;84200;CARPENTRAS;Laurent THIOLOUSE;L2D PROVENCE IMMOBILIER;04 90 35 37 20;carpentras@guyhoquet.com;P;HOQUET1242;Siège;2081
11/12/2015;33480;CASTELNAU DE MEDOC;Fabrice BARREAUX;@DOMUS;05 57 88 78 25;castelnaudemedoc@guyhoquet.com ;P;HOQUET1231;Siège;2096
;34170;CASTELNAU LE LEZ;Jean François SCHNEIDER;CIP;04 67 66 16 65;castelnaulelez@guyhoquet.com;P;HOQUET589;Siège;2152
;40260;CASTETS;Dominique DEZELLUS;SAS GRANDE LANDE;05 58 72 10 00;castets@guyhoquet.com;Succ.;HOQUET295;Pas de code unique;1706
11/07/2014;22350;CAULNES;Alain DAUGAN;DAUGAN IMMOBILIER;02 96 39 12 12;caulnes@guyhoquet.com;Succ.;HOQUET362 S;Pas de code unique;1954
03/02/2016;97300;CAYENNE;Tony MIRANDE;VTLP;05 94 28 65 50;cayenne@guyhoquet.com;P;HOQUET1239;Siège;326
;68700;CERNAY;Fabrice CHAUSSALET;ELSASS HOME;03 68 36 14 60;cernay@guyhoquet.com;P;HOQUET1145;Siège;1880
;51000;CHALONS EN CHAMPAGNE;Marie-Claire de PAULI;L'AIDAIN;03.26.65.88.05;chalonsenchampagne@guyhoquet.com;P;HOQUET1053;Siège;1808
;71100;CHALON-SUR-SAÔNE;Jean-Pierre FEMENIA et Claire SAIVE;NICEPHORE IMMO;03 85 43 63 83;chalonsursaone@guyhoquet.com;P;HOQUET1173;Siège;1947
;73000;CHAMBERY;Thibaud DEWIT;CITY'IMMO;04 79 33 89 49;chambery@guyhoquet.com;P;HOQUET1016;Siège;2106
;94500;CHAMPIGNY SUR MARNE;Jérémy MOSIN;IMMOFUTUR;01.55.12.31.12;champignyjoinville@guyhoquet.com;P;HOQUET113;Siège;2066
;60500;CHANTILLY;Mr CAUCHY;MJ IMMOBILIER;03 44 67 22 79;chantilly@guyhoquet.com;P;HOQUET1087;Siège;1684
19/10/2016;69630;CHAPONOST;Daniel MERLE ;IMMODM;04 78 44 63 75;chaponost@guyhoquet.com;Succ.;HOQUET1112;Pas de code unique;1820
;8000;CHARLEVILLE MEZIERES;Eric REDOUTE;SARL MON AGENCE;03 24 33 00 50;charleville@guyhoquet.com;P;HOQUET1149;Siège;1926
;28000;CHARTRES;Pascal PLANCHON;AGENCE AVENIR HL IMMOBILIER;02.37.200.200;chartres@guyhoquet.com;P;HOQUET100;Siège;1975
;53200;CHÂTEAU GONTIER;Amélie BRECHETEAU;ALF IMMO;02 43 70 48 08;chateaugontier@guyhoquet.com;P;HOQUET1043;Siège;2141
;28200;CHATEAUDUN;Jean Louis CLAVEAU;CLAVEAU IMMOBILIER;02 37 45 05 57;chateaudun@guyhoquet.com;P;HOQUET608;Siège;2130
;28170;CHATEAUNEUF EN THYMERAIS;Laurent SIMON;SIMON IMMOBILIER;02 37 51 00 28;chateauneuf28@guyhoquet.com;Succ.;HOQUET391;Siège;1778
23/05/2016;45110  ;CHATEAUNEUF SUR LOIRE ;Christian ANDRE             ;C.J. IMMO;02 38 600 900;chateauneuf45@guyhoquet.com ;Succ.;HOQUET1254;Siège;1898
;92320;CHATILLON;Gilles PAPON;RECTANGLE IMMO;01.47.35.07.35;chatillon@guyhoquet.com;P;HOQUET294;Siège;1716
04/11/2015;78400;CHATOU;Nathalie  et Olivier GUIOT ;AGENCE DE L’HOTEL DE VILLE;01 30 53 25 25;chatou@guyhoquet.com ;P;Hoquet1227;Siège;2077
14/01/2015;92370;CHAVILLE;Jean-Charles BEYLERIAN et Muriel ROOSENS;CHAVILLE IMMOBILIER;01 47 50 82 80 ;;P;HOQUET1197;Siège;2039
;77500;CHELLES;Paul HINTERMEYER;PHIMMO;01 60 08 99 99;chelles@guyhoquet.com;P;HOQUET436;Siège;2015
;91380;CHILLY MAZARIN;Gaël KERVININEN et Fabrice GUTTON;GK INVESTISSEMENT;01 64 53 13 13 ;chilly@guyhoquet.com;P;HOQUET619;Siège;1712
;92140;CLAMART;Bruno FERRI;CLAMART IMMOBILIER;01.46.44.75.61;clamart@guyhoquet.com;P;HOQUET1160;Siège;1946
;92140;CLAMART;Bruno FERRI;SARL AGENCE CENTRALE CLAMART;01 41 46 08 08;clamartcentre@guyhoquet.com;P;HOQUET33;Siège;1946
;60600;CLERMONT DE L'OISE;Eric CAUCHY;DORENAVANT;03 44 19 23 80;clermontdeloise@guyhoquet.com;P;HOQUET399;Siège;2010
;92110;CLICHY LA GARENNE;Fabrice HOUNKPATIN;2H IMMO;01 42 70 52 59;cabinet92est@guyhoquet.com;P;GHEC0046;GHEC;2025
;68000;COLMAR;Alain ANCELLE ;ALMAVIMMO;03 89 24 08 07 ;colmar@guyhoquet.com;P;HOQUET1113;Siège;1824
;92700;COLOMBES;Xavier CANAC et Jean-Yves DESNOUX;CADE IMMOBILIER;01.55.66.09.09;colombes@guyhoquet.com;P;HOQUET315;Siège;1858
;77380;COMBS LA VILLE;Mickael MOUL;MKM IMMOBILIER;01 64 88 08 58;combslaville@guyhoquet.com;P;HOQUET411;Siège;1935
;91100;CORBEIL ESSONNES;Jean-Philippe MILLOUR;JP2M IMMOBILIER;01 69 22 14 50;corbeilessonnes@guyhoquet.com;P;HOQUET398;Siège;1931
;77170;COUBERT;Olivier MARCHAL;COUBERT IMMO CONSEILS;01 64 16 34 00;coubert@guyhoquet.com ;Succ.;HOQUET1091;Siège;1593a3
;92400;COURBEVOIE;Didier PEDELMAS;SASU AXSTREAM;01 46 67 46 50;courbevoie@guyhoquet.com;P;HOQUET1162;Siège;1884
;28190;COURVILLE;Laurent SIMON;SIMON IMMOBILIER;02 37 23 37 21;courville@guyhoquet.com;P;HOQUET170;Siège;1778
;26400;CREST;Lucile BERNARD;LUL IMMO;04 69 30 81 00;crest@guyhoquet.com;P;HOQUET1056;Siège;2109
27/07/2016;94000;CRETEIL;Laurent BALY;CLB IMMOBILIER;01 77 01 85 61;creteil@guyhoquet.com;P;HOQUET1260;Siège;2125
;74350;CRUSEILLES;Laurent MOILLET;EPICENTRE IMMOBILIER;04 50 77 9000 ;cruseilles@guyhoquet.com;P;HOQUET1029;Siège;1903
;14800;DEAUVILLE;Audrey DUCROCQ et Nicolas TOUCHERON;DT IMMO;02 31 89 91 91;deauville@guyhoquet.com;P;HOQUET1021;Siège;2057
;69150;DECINES;Damien BOUCQ ;DMTG IMMOBILIER;04.37.42.16.50;decines@guyhoquet.com;P;HOQUET1062;Siège;1636
;21000;DIJON;Dominique ROUFFIANDIS;M.P.R IMMOBILIER;03 80 73 21 21;dijontoisondor@guyhoquet.com;P;HOQUET845;Siège;1846
;35120;DOL DE BRETAGNE;Mathilde BRYON;SARL STUARTS IMMOBILIER;02 99 48 04 44;doldebretagne@guyhoquet.com;P;HOQUET1152;Siège;1915
;17550;DOLUS D'OLERON;Dominique BLANCHIER;DOMINIQUE IMMOBILIER;05 46 36 91 95;iledoleron@guyhoquet.com;P;HOQUET479;Siège;1974
;59500;DOUAI;Jean Christophe DOCHEZ;JCD IMMOBILIER;03.27.08.22.44;douai@guyhoquet.com;P;HOQUET320;Siège;1853
;83300;DRAGUIGNAN;Philippe BOULET;AGENCE IMMOBILIERE BOULET;04.94.39.20.60;draguignan@guyhoquet.com;P;HOQUET1034;Siège;2053
13/05/2016;93700;DRANCY;Rémy JANSEN et Anthony  PITKANITSOS COHEN ;IMMO MARCEAU;01 48 32 18 57;drancy@guyhoquet.com;P;HOQUET675;Siège;1654
;91210;DRAVEIL;Sailendra RAMSAMY;ART CONSEIL IMMOBILIER;01 69 73 20 29;draveil@guyhoquet.com;P;HOQUET451;Siège;1836
;59240;DUNKERQUE;Pierre HEBBEN et Vincent BOULOGNE;BVH IMMOBILIER;03 28 28 00 60;dunkerquemalo@guyhoquet.com;P;HOQUET734;Siège;1744
26/09/2014;95600;EAUBONNE;"Franck SANANES
Emmanuelle YOT";SYA;01 84 86 07 06;eaubonne@guyhoquet.com ;P;HOQUET1185;Siège;1948
;56250;ELVEN;Anne LANCELOT;SERVICE IMMOBILIERS DE L'ARGOET;02 97 53 03 03;elven@guyhoquet.com;P;HOQUET358;Siège;1801
;51200;EPERNAY;David PECCEU et José CAZE;ACTIF IMMO;03.26.55.94.94;epernay@guyhoquet.com;P;HOQUET173;Siège;1682
08/06/2015;93800;EPINAY-SUR-SEINE;Julie DERRICHE;JLD IMMOBILIER;01 48 47 46 45;epinay@guyhoquet.com  ;P;HOQUET1215;Siège;2030
;78680;EPONE;Jean-Baptiste HEBERT;HAPPIMMO 78;01 30 91 19 27;epone@guyhoquet.com;P;HOQUET452;Siège;1831
;67150;ERSTEIN;Gérard SPANIER ;RIED IMMO;03 88 98 83 48;erstein@guyhoquet.com;P;HOQUET1170;Siège;1921
;76260;EU;Florence CREVECOEUR;LOISEAU IMMO;02.35.50.54.54;eu@guyhoquet.com;P;HOQUET103;Siège;1788
;22630;EVRAN;Alain DAUGAN;DAUGAN IMMOBILIER;02 96 39 12 12;evran@guyhoquet.com ;P;HOQUET362;Siège;1954
;91000;EVRY;Patrick MILLOUR;JPMD IMMOBILIER;01 60 79 00 00;evry@guyhoquet.com;P;HOQUET1155;Siège;2182
;27530;EZY SUR EURE;Christèle JORET ;Sarl JORET Immobilier;02 37 62 49 49;ezy@guyhoquet.com;P;HOQUET1020;Siège;1956
;42110;FEURS;Serge THOLONIAT;LES CLEFS DU FOREZ;04 77 26 00 20;feurs@guyhoquet.com;P;HOQUET694;Siège;1724
;69270;FONTAINES SUR SAONE;Pascal PAYSANT;3MP IMMOBILIER;04.72.42.35.35;fontainessursaone@guyhoquet.com;P;HOQUET366;Siège;1928
;92260;FONTENAY AUX ROSES;Gilles PAPON;IMMOFAR;01.55.52.12.12;fontenayauxroses@guyhoquet.com;P;HOQUET120;Siège;1705
;85200;FONTENAY LE COMTE;Magali LECOCQ;FONTENAY LE COMTE IMMO;02 51 50 43 93;fontenaylecomte@guyhoquet.com;P;HOQUET425;Siège;1966
;94120;FONTENAY SOUS BOIS;Stéphane RETIF;AAA Immobilier;01 43 94 96 96;fontenaysousbois@guyhoquet.com;P;HOQUET1018;Siège;2108
;77610;FONTENAY TRESIGNY;Madani KOITA;MAKSIMMO;01 64 07 91 43;fontenaytresigny@guyhoquet.com;Succ.;HOQUET1132;Siège;2155
28/07/2016;91470;FORGES LES BAINS ;Hervé et Laure PONS;AGENCE IMMOBILIERE DE FORGES;01 64 91 12 54;forges@guyhoquet.com;P;HOQUET1261;Siège;2036
;95130;FRANCONVILLE;Henri Moggia;M C P B;01 30 72 10 20;franconville@guyhoquet.com;P;HOQUET556;Siège;1914
14/09/2015;94260;FRESNES;Laurent LELAIDIER;IMAGIN IMMO;01 46 89 30 52;fresnes@guyhoquet.com ;P;HOQUET1222;Siège;2097
;31620;FRONTON;Emmanuel BRESSON;IMO COM;05 61 35 03 41;fronton@guyhoquet.com;P;HOQUET1259;Siège;1898
15/07/2015;92380;GARCHES;Eric POUILLOT;EPO IMMO;01 81 93 70 80;garches@guyhoquet.com  ;P;HOQUET1216;Siège;2024
07/08/2015;94250;GENTILLY;Muriel ANGLES;ANGLISSIMO;01 49 08 09 09;gentilly@guyhoquet.com  ;P;HOQUET1218;Siège;2059
29/12/2015;14730;GIBERVILLE;Jérôme AUTRET               ;AUTRET-IMMO;02 31 72 28 58;giberville@guyhoquet.com   ;P;HOQUET1235;Siège;2073
;27140;GISORS;Corinne Libois;Maisons et propriétés;02 32 27 29 90;gisors@guyhoquet.com;P;HOQUET1137;Siège;1909
;69700;GIVORS;Miguel VELOSO;RHONE SUD IMMOBILIER;04 78 07 44 00 ;givors@guyhoquet.com;P;HOQUET514;Siège;2014
;31330;GRENADE;Thierry GINER;SAN MATEO;05 61 82 05 17;grenade@guyhoquet.com ;P;HOQUET1172;Siège;1962
;77220;GRETZ ARMAINVILLIERS;Madani KOITA;KORIMMO;01 64 42 09 71;gretz@guyhoquet.com;P;HOQUET525;Siège;2155
;68100;GUEBWILLER;Olivier TSCHAENN;SUD ELSASS IMMOBILIER;03 68 10 00 45;guebwiller@guyhoquet.com;P;HOQUET1130;Siège;1879
;77390;GUIGNES;Olivier MARCHAL;BRIE IMMO CONSEILS;01 64 42 80 78;guignes@guyhoquet.com;Succ.;HOQUET871;Siège;2129
13/03/2015;83400;HYERES;Nathalie GENET;NG IMMOBILIER;;hyeres@guyhoquet.com ;P;HOQUET1204;Siège;2012
;67400;ILLKIRCH GRAFFENSTADEN;Pierre LEY;ILL'YMO ;03.90.40.33.00;illkirch@guyhoquet.com;P;HOQUET643;Siège;2168
;92130;ISSY LES MOULINEAUX;Hervé POINSON et Michel MENDES;ISSYMMO;01.46.38.18.38;issy@guyhoquet.com;P;HOQUET45;Siège;2150
;92130;ISSY SEINE;Hervé POINSON et Michel MENDES;MPI;01 41 08 98 98;issyseine@guyhoquet.com;Succ.;HOQUET1041;Siège;2151
;94200;IVRY SUR SEINE;Hafida BENCHERNINE et William KOURORIEZ;HAFIMMO;01 46 70 14 14;ivry@guyhoquet.com;P;HOQUET18;Siège;1747
;45150;JARGEAU;Jérôme LACOFFRETTE;JERON'IMMO;02 38 46 14 61;jargeau@guyhoquet.com;P;HOQUET834;Siège;1898
;17500;JONZAC;Olivier ROUBY;REIS IMMO;05 46 70 03 06;jonzac@guyhoquet.com;P;HOQUET412;Siège;1960
06/04/2016;34990;JUVIGNAC;Bruno MEZI ;BPMI;04 67 79 83 93; juvignac@guyhoquet.com ;Succ.;HOQUET1127 S;Pas de code unique ;1851
19/03/2015;91260;JUVISY-SUR-ORGE;Aurélie OUTHIER ;AURIMMO 91;01 69 12 12 00;juvisy@guyhoquet.com ;Succ.;HOQUET1205;Siège;1746
;91260;JUVISY-SUR-ORGE;Aurélie OUTHIER ;AURIMMO 91;01 69 12 12 00;juvisy@guyhoquet.com ;Succ.;HOQUET757 S;Pas de code unique;1746
;;KOUROU;Tony MIRANDE;VTLP;05 94 32 20 20 ;kourou@guyhoquetguyane.com;Succ.;HOQUET1239;Pas de code unique;326
;94240;L’HAY LES ROSES;Alexandre FORET ;AG CONSEILS;01.49.08.09.10;lhaylesroses@guyhoquet.com;P;HOQUET1262;Siège;2158
;44500;LA BAULE ESCOUBLAC;Franck LEROY;2L IMMOBILIER;02 51 73 70 00;labaule@guyhoquet.com;P;HOQUET1122;Siège;1856
;78170;LA CELLE SAINT CLOUD;Thibault PIAT;AGENCE DE LA DRIONNE;01 30 08 24 24;lacellesaintcloud@guyhoquet.com;P;HOQUET850;Siège;1883
;17630;LA FLOTTE;Vincent MESPLEDE;TOIT EN RE IMMOBILIER;05 46 01 75 94;laflotteenre@guyhoquet.com;P;HOQUET1134;Siège;1875
